TagName,UpVotes,Month
"amazon-web-services","301","1346"
"amazon-ec2","293","1337"
"amazon-s3","283","1334"
"amazon-ec2","278","1333"
"amazon-s3","248","1333"
"amazon-ec2","228","1310"
"amazon-s3","227","1332"
"amazon-web-services","226","1344"
"amazon-ec2","225","1334"
"amazon-ec2","220","1336"
"amazon-web-services","216","1348"
"amazon-ec2","215","1342"
"amazon-web-services","215","1347"
"amazon-ec2","212","1332"
"amazon-ec2","211","1346"
"amazon-s3","208","1345"
"amazon-web-services","207","1345"
"amazon-s3","206","1327"
"amazon-s3","201","1338"
"amazon-ec2","198","1348"
"amazon-s3","194","1348"
"amazon-ec2","191","1340"
"amazon-ec2","186","1330"
"amazon-s3","186","1344"
"amazon-web-services","185","1333"
"amazon-ec2","184","1347"
"amazon-web-services","183","1328"
"amazon-s3","182","1335"
"amazon-s3","181","1311"
"amazon-ec2","176","1328"
"amazon-web-services","176","1342"
"amazon-web-services","174","1336"
"amazon-s3","172","1336"
"amazon-ec2","172","1339"
"amazon-ec2","169","1345"
"amazon-web-services","168","1343"
"amazon-web-services","166","1332"
"amazon-s3","165","1340"
"amazon-ec2","162","1311"
"amazon-web-services","162","1334"
"amazon-ec2","161","1344"
"amazon-web-services","161","1337"
"amazon-s3","152","1346"
"amazon-ec2","152","1341"
"amazon-web-services","152","1331"
"amazon-s3","151","1337"
"amazon-s3","151","1314"
"amazon-ec2","149","1335"
"amazon-web-services","146","1310"
"amazon-ec2","145","1338"
"amazon-s3","145","1347"
"amazon-web-services","143","1339"
"amazon-s3","138","1329"
"amazon-ec2","134","1349"
"amazon-ec2","133","1343"
"amazon-s3","133","1343"
"amazon-s3","129","1305"
"amazon-s3","129","1342"
"amazon-ec2","127","1312"
"amazon-ec2","127","1317"
"amazon-web-services","123","1341"
"amazon-web-services","123","1349"
"amazon-web-services","122","1320"
"amazon-s3","121","1341"
"amazon-web-services","121","1340"
"amazon-ec2","120","1322"
"amazon-web-services","119","1326"
"amazon-web-services","117","1335"
"amazon-ec2","116","1320"
"amazon-ec2","115","1329"
"amazon-ec2","115","1327"
"amazon-web-services","115","1316"
"amazon-s3","113","1319"
"amazon-web-services","112","1327"
"amazon-s3","112","1326"
"amazon-ec2","111","1331"
"amazon-ec2","108","1305"
"amazon-s3","107","1331"
"amazon-s3","105","1339"
"amazon-s3","104","1325"
"amazon-ec2","101","1321"
"amazon-web-services","100","1318"
"amazon-web-services","100","1329"
"amazon-s3","99","1323"
"amazon-web-services","99","1338"
"amazon-ebs","98","1328"
"amazon-s3","98","1328"
"amazon-ec2","98","1326"
"amazon-s3","97","1321"
"amazon-s3","96","1310"
"amazon-dynamodb","96","1345"
"amazon-s3","94","1312"
"amazon-web-services","92","1309"
"amazon-ec2","92","1318"
"amazon-web-services","91","1312"
"amazon-web-services","86","1325"
"amazon-s3","85","1313"
"amazon-s3","85","1322"
"amazon-ec2","82","1308"
"amazon-s3","80","1317"
"amazon-ec2","80","1325"
"amazon-web-services","79","1321"
"amazon-web-services","78","1317"
"amazon-web-services","78","1313"
"amazon-s3","77","1315"
"amazon-s3","77","1330"
"amazon-s3","74","1318"
"amazon-ec2","74","1324"
"amazon-simpledb","73","1327"
"amazon-s3","73","1304"
"amazon-ec2","72","1313"
"amazon-web-services","70","1324"
"amazon-ebs","68","1320"
"amazon-ebs","68","1309"
"amazon-s3","68","1349"
"amazon-web-services","67","1330"
"amazon-s3","66","1320"
"amazon-s3","65","1324"
"amazon-ec2","63","1316"
"amazon-ec2","62","1309"
"amazon-simpledb","61","1316"
"amazon-web-services","58","1305"
"amazon-web-services","58","1315"
"amazon-s3","57","1308"
"amazon-s3","56","1316"
"amazon-dynamodb","56","1344"
"amazon-web-services","56","1322"
"amazon-web-services","56","1323"
"amazon-cloudfront","55","1328"
"amazon-ebs","54","1336"
"amazon-web-services","53","1311"
"amazon-s3","52","1303"
"amazon-web-services","51","1319"
"amazon-ec2","50","1323"
"amazon-rds","50","1332"
"amazon-s3","50","1307"
"amazon-simpledb","48","1319"
"amazon-ec2","47","1314"
"amazon-simpledb","46","1322"
"amazon-s3","46","1309"
"amazon-simpledb","46","1324"
"amazon-simpledb","45","1314"
"amazon-ec2","44","1304"
"amazon-s3","43","1306"
"amazon-dynamodb","43","1346"
"amazon-cloudfront","42","1334"
"amazon-ec2","42","1303"
"amazon-ec2","39","1307"
"amazon-simpledb","39","1312"
"amazon-simpledb","39","1305"
"amazon-ec2","38","1306"
"amazon-web-services","37","1304"
"amazon-web-services","36","1308"
"amazon-ec2","36","1319"
"amazon-ses","34","1343"
"amazon-rds","33","1335"
"amazon-web-services","33","1314"
"amazon-cloudfront","33","1344"
"amazon-cloudfront","32","1338"
"amazon-simpledb","32","1344"
"amazon-ebs","32","1334"
"amazon-dynamodb","29","1348"
"amazon-ebs","28","1333"
"amazon-rds","28","1337"
"amazon-rds","27","1319"
"amazon-cloudfront","27","1331"
"amazon-cloudfront","26","1345"
"amazon-simpledb","26","1336"
"amazon-simpledb","26","1332"
"amazon-simpledb","25","1335"
"amazon-dynamodb","25","1347"
"amazon-simpledb","25","1338"
"amazon-ebs","24","1329"
"amazon-simpledb","24","1304"
"amazon-simpledb","23","1325"
"amazon-simpledb","23","1320"
"amazon-simpledb","22","1345"
"amazon-simpledb","22","1311"
"amazon-simpledb","22","1321"
"amazon-web-services","21","1307"
"amazon-ebs","21","1321"
"amazon-simpledb","21","1346"
"amazon-cloudfront","20","1348"
"amazon-sqs","20","1343"
"amazon-simpledb","19","1317"
"amazon-ebs","19","1331"
"amazon-simpledb","19","1337"
"amazon-ebs","19","1337"
"amazon-ebs","18","1344"
"amazon-simpledb","18","1313"
"amazon-ses","17","1346"
"amazon-simpledb","17","1331"
"amazon-ec2","16","1315"
"amazon-cloudfront","16","1332"
"amazon-rds","16","1325"
"amazon-cloudfront","16","1346"
"amazon-appstore","16","1347"
"amazon-rds","16","1330"
"amazon-cloudfront","15","1323"
"amazon-fps","15","1344"
"amazon-rds","15","1317"
"amazon-simpledb","15","1330"
"amazon-rds","15","1338"
"amazon-simpledb","15","1333"
"amazon-product-api","15","1315"
"amazon-ebs","14","1323"
"amazon-ses","14","1347"
"amazon-rds","14","1346"
"amazon-cloudfront","14","1347"
"amazon-simpledb","14","1323"
"amazon-emr","14","1347"
"amazon-cloudfront","14","1343"
"amazon-rds","14","1321"
"amazon-ses","14","1333"
"amazon-simpledb","14","1339"
"amazon-rds","13","1345"
"amazon-rds","13","1344"
"amazon-ebs","13","1332"
"amazon-route53","13","1333"
"amazon-ebs","13","1335"
"amazon-elb","13","1345"
"amazon-rds","13","1339"
"amazon-sqs","12","1312"
"amazon-rds","12","1329"
"amazon-product-api","12","1341"
"amazon-route53","12","1334"
"amazon-sqs","12","1325"
"amazon-swf","12","1345"
"amazon-rds","12","1323"
"amazon-simpledb","12","1318"
"amazon-rds","12","1348"
"amazon-web-services","12","1303"
"amazon-simpledb","12","1307"
"amazon-rds","12","1336"
"amazon-ses","12","1336"
"amazon-appstore","12","1343"
"amazon-product-api","11","1346"
"amazon-ebs","11","1322"
"amazon-cloudfront","11","1336"
"amazon-ebs","11","1324"
"amazon-web-services","11","1306"
"amazon-rds","11","1333"
"amazon-cloudfront","11","1335"
"amazon-rds","11","1342"
"amazon-sqs","11","1330"
"amazon-simpledb","11","1334"
"amazon-sqs","10","1348"
"amazon-product-api","10","1342"
"amazon-sqs","10","1336"
"amazon-rds","10","1331"
"amazon-elb","10","1349"
"amazon-ebs","10","1325"
"amazon-product-api","10","1332"
"amazon-simpledb","10","1329"
"amazon-cloudfront","10","1341"
"amazon-simpledb","10","1308"
"amazon-sqs","10","1324"
"amazon-product-api","10","1344"
"amazon-ebs","9","1347"
"amazon-rds","9","1347"
"amazon-product-api","9","1333"
"amazon-cloudformation","9","1347"
"amazon-ebs","9","1346"
"amazon-emr","9","1338"
"amazon-sqs","9","1328"
"amazon-cloudfront","9","1337"
"amazon-cloudfront","9","1339"
"amazon-cloudfront","9","1333"
"amazon-appstore","9","1335"
"amazon-ses","9","1335"
"amazon-emr","8","1340"
"amazon-elb","8","1334"
"amazon-ses","8","1349"
"amazon-cloudfront","8","1326"
"amazon-cloudformation","8","1348"
"amazon-ebs","8","1339"
"amazon-sns","8","1336"
"amazon-product-api","8","1343"
"amazon-ebs","8","1317"
"amazon-ses","8","1348"
"amazon-appstore","8","1334"
"amazon-sqs","8","1326"
"amazon-cloudfront","8","1349"
"amazon-simpledb","8","1328"
"amazon-cloudfront","7","1317"
"amazon-sqs","7","1347"
"amazon-ebs","7","1345"
"amazon-simpledb","7","1347"
"amazon-elb","7","1346"
"amazon-swf","7","1346"
"amazon-sqs","7","1341"
"amazon-cloudwatch","7","1347"
"amazon-sqs","7","1317"
"amazon-ses","7","1334"
"amazon-appstore","7","1337"
"amazon-ses","7","1344"
"amazon-cloudfront","7","1316"
"amazon-simpledb","7","1348"
"amazon-elb","7","1347"
"amazon-ses","7","1341"
"amazon-ebs","7","1342"
"amazon-rds","7","1320"
"amazon-simpledb","7","1310"
"amazon-swf","7","1347"
"amazon-simpledb","7","1342"
"amazon-sqs","7","1319"
"amazon-sqs","7","1334"
"amazon-ses","7","1339"
"amazon-cloudfront","7","1325"
"amazon-emr","6","1333"
"amazon-appstore","6","1346"
"amazon-payments","6","1347"
"amazon-ses","6","1332"
"amazon-cloudfront","6","1329"
"amazon-ebs","6","1316"
"amazon-simpledb","6","1341"
"amazon-mws","6","1347"
"amazon-emr","6","1332"
"amazon-ebs","6","1310"
"amazon-sns","6","1329"
"amazon-ses","6","1337"
"amazon-simpledb","6","1343"
"amazon-sqs","6","1332"
"amazon-dynamodb","6","1349"
"amazon-emr","6","1337"
"amazon-elb","6","1348"
"amazon-sqs","6","1345"
"amazon-ses","6","1338"
"amazon-sqs","5","1320"
"amazon-emr","5","1346"
"amazon-elb","5","1344"
"amazon-ecs","5","1345"
"amazon-elasticache","5","1346"
"amazon-emr","5","1342"
"amazon-iam","5","1342"
"amazon-cloudfront","5","1330"
"amazon-simpledb","5","1340"
"amazon-sns","5","1347"
"amazon-emr","5","1349"
"amazon-cloudfront","5","1327"
"amazon-cloudwatch","5","1349"
"amazon-sqs","5","1344"
"amazon-ebs","5","1348"
"amazon-product-api","5","1323"
"amazon-sqs","5","1333"
"amazon-product-api","5","1345"
"amazon-elb","4","1341"
"amazon-route53","4","1342"
"amazon-sqs","4","1337"
"amazon-ebs","4","1330"
"amazon-ebs","4","1312"
"amazon-simpledb","4","1306"
"amazon-rds","4","1343"
"amazon-route53","4","1347"
"amazon-ebs","4","1338"
"amazon-emr","4","1331"
"amazon-iam","4","1346"
"amazon-appstore","4","1341"
"amazon-ebs","4","1318"
"amazon-rds","4","1349"
"amazon-sqs","4","1322"
"amazon-appstore","4","1338"
"amazon-emr","4","1341"
"amazon-cloudfront","3","1340"
"amazon-product-api","3","1337"
"amazon-sns","3","1337"
"amazon-ebs","3","1313"
"amazon-emr","3","1348"
"amazon-sns","3","1346"
"amazon-appstore","3","1345"
"amazon-vpc","3","1346"
"amazon-vpc","3","1348"
"amazon-rds","3","1334"
"amazon-sns","3","1333"
"amazon-appstore","3","1340"
"amazon-ecs","3","1337"
"amazon-emr","3","1345"
"amazon-product-api","3","1336"
"amazon-ses","3","1345"
"amazon-vpc","3","1345"
"amazon-vpc","3","1347"
"amazon-elasticache","3","1347"
"amazon-sqs","3","1340"
"amazon-ebs","3","1308"
"amazon-mws","3","1341"
"amazon-appstore","3","1342"
"amazon-iam","3","1344"
"amazon-mws","3","1348"
"amazon-cloudformation","2","1343"
"amazon-simpledb","2","1309"
"amazon-sqs","2","1323"
"amazon-product-api","2","1338"
