TagName,UpVotes,Month
"c#","44280","1304"
"c#","40343","1334"
"c#","40327","1305"
"c#","39157","1314"
"c#","38481","1336"
"c#","36949","1337"
"c#","36694","1322"
"c#","36373","1344"
"c#","36102","1313"
"c#","35929","1310"
".net","35251","1304"
"c#","35121","1311"
"c#","35022","1332"
"c#","34968","1317"
"c#","34775","1315"
"c#","34665","1320"
"c#","34430","1326"
"c#","34282","1312"
"c#","34282","1327"
"c#","34085","1333"
"c#","33697","1335"
"c#","33680","1330"
"c#","33489","1338"
"c#","33448","1339"
"c#","33158","1328"
"c#","33048","1318"
"c#","33041","1346"
"c#","32933","1342"
"c#","32701","1316"
"c#","32673","1309"
"java","32602","1346"
"java","32600","1344"
"python","32530","1304"
"c#","32475","1323"
"c#","32413","1308"
"c#","32387","1325"
"c#","32355","1324"
"c#","32170","1321"
"java","31870","1339"
"java","31646","1334"
"c#","31618","1345"
"java","31503","1338"
"c#","31471","1329"
"language-agnostic","31383","1304"
"java","31204","1347"
"java","31199","1304"
"java","31044","1348"
"c#","30983","1331"
"java","30700","1336"
"java","30630","1320"
"c#","30479","1319"
"c#","30341","1347"
"c#","30280","1340"
"java","30005","1345"
"c#","29927","1341"
"java","29919","1342"
"javascript","29489","1339"
"java","29210","1337"
"c#","29124","1343"
"c++","28904","1337"
"java","28890","1322"
"c#","28845","1348"
"java","28753","1335"
"java","28662","1340"
"java","28224","1343"
"java","27769","1332"
"java","27655","1341"
"c++","27538","1304"
"java","27026","1333"
"c++","26760","1332"
"php","26053","1337"
"javascript","25878","1337"
"javascript","25769","1336"
"java","25730","1324"
"c#","25544","1306"
"java","25493","1321"
"php","25467","1336"
".net","25325","1305"
"java","25278","1330"
"java","25245","1325"
"c++","25212","1335"
"java","25092","1328"
"javascript","25024","1348"
"java","24965","1327"
"javascript","24859","1344"
"java","24742","1331"
"java","24678","1329"
"javascript","24581","1338"
"php","24577","1334"
"java","24180","1326"
"javascript","24175","1345"
"c++","24173","1334"
"java","24173","1323"
"c++","23844","1305"
"c++","23787","1330"
"javascript","23779","1340"
"c#","23768","1303"
"javascript","23733","1346"
"javascript","23658","1304"
"java","23610","1349"
"c#","23470","1349"
"c++","23445","1339"
"javascript","23378","1334"
"language-agnostic","23315","1308"
"php","23225","1339"
"java","23208","1318"
"javascript","23203","1347"
"c++","23197","1336"
"java","22929","1313"
"javascript","22872","1335"
"php","22850","1338"
"javascript","22802","1342"
"c#","22719","1307"
"c++","22699","1317"
"java","22663","1314"
"php","22642","1335"
"c++","22634","1322"
"c++","22416","1342"
"php","22324","1348"
"php","22311","1344"
"c++","22260","1338"
"php","22238","1346"
"c++","22174","1325"
"c++","22164","1323"
"java","22137","1305"
"javascript","22071","1343"
"c++","21993","1341"
"php","21973","1342"
"c++","21912","1331"
"c++","21702","1320"
"php","21635","1345"
"c++","21548","1348"
"c++","21531","1345"
"c++","21449","1344"
"java","21332","1319"
"c++","21319","1340"
"java","21299","1312"
"c++","21133","1328"
"c++","21111","1346"
"php","21052","1347"
"c++","21050","1326"
"c++","20987","1343"
"php","20984","1332"
"c++","20905","1327"
"javascript","20857","1332"
"javascript","20812","1341"
"c++","20789","1321"
"c++","20750","1347"
"javascript","20656","1333"
"javascript","20600","1349"
"c++","20600","1324"
"php","20547","1327"
"javascript","20530","1305"
"php","20421","1333"
"c++","20416","1329"
"c++","20313","1333"
"java","20057","1308"
"php","19983","1343"
"c++","19842","1310"
"php","19814","1340"
"javascript","19738","1330"
"c++","19642","1319"
"jquery","19529","1348"
"java","19448","1309"
"jquery","19417","1339"
"php","19213","1326"
".net","19143","1310"
".net","19050","1309"
".net","19009","1308"
"java","18907","1317"
"php","18851","1341"
"javascript","18827","1331"
"c++","18821","1318"
"java","18799","1316"
"c++","18728","1314"
"php","18625","1328"
"c++","18502","1312"
"php","18501","1320"
"java","18440","1315"
"jquery","18384","1336"
"c++","18383","1315"
"php","18167","1330"
"jquery","18070","1337"
"jquery","17993","1334"
"javascript","17964","1329"
"android","17943","1334"
"javascript","17903","1312"
"php","17873","1331"
"jquery","17866","1345"
"c++","17863","1316"
"c++","17813","1313"
"php","17789","1349"
"jquery","17711","1344"
".net","17700","1312"
"jquery","17686","1347"
".net","17660","1314"
"javascript","17645","1326"
"jquery","17561","1338"
"jquery","17545","1346"
"java","17491","1310"
"android","17455","1333"
"jquery","17361","1342"
".net","17297","1313"
".net","17227","1322"
"c++","16994","1311"
".net","16994","1311"
"java","16964","1311"
"php","16787","1322"
"javascript","16787","1328"
"jquery","16759","1335"
"php","16686","1329"
"jquery","16589","1340"
"php","16570","1325"
"java","16521","1306"
"jquery","16512","1341"
"php","16508","1324"
"jquery","16449","1343"
"python","16394","1348"
".net","16316","1306"
"javascript","16286","1320"
"python","16284","1334"
".net","16275","1315"
"hidden-features","16270","1304"
"python","16257","1336"
"javascript","16236","1327"
"php","16167","1321"
"python","16151","1326"
"python","16148","1339"
"python","16131","1338"
"python","16075","1344"
"language-agnostic","16069","1320"
"python","16006","1313"
"c++","15990","1349"
"javascript","15986","1324"
"python","15980","1346"
"jquery","15951","1332"
"c++","15947","1309"
"c++","15946","1306"
"android","15831","1332"
"python","15785","1318"
"android","15779","1335"
"android","15769","1337"
"javascript","15764","1313"
"python","15724","1345"
"javascript","15709","1315"
"javascript","15702","1314"
"python","15690","1305"
"python","15642","1332"
"javascript","15594","1319"
"php","15588","1319"
"javascript","15563","1325"
"python","15525","1320"
